adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/p63GY5JaHX4fine4fgQkhSoqc6r.jpg,[10764],245684,['KR'],ko,흑백요리사: 요리 계급 전쟁,"Eighty ""Black Spoon"" underdog cooks with a knack for flavor face 20 elite ""White Spoon"" chefs in a fierce cooking showdown among 100 contenders.",6.6963,/dXaSWfISSbivyNy9X6zkOnxD9Gp.jpg,2024-09-17,Culinary Class Wars,8.4,40
False,/9DUSmAB9DOZjXOg6tsUb7nFoA1F.jpg,[18],113240,['KR'],ko,런 온,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life.",7.3205,/nLkBiwVDMSpJSCnXXXRkuQmwIvp.jpg,2020-12-16,Run On,7.44,100
False,/i7prwa7UwOAUcpTmWnUd75J2PWe.jpg,[18],76662,['KR'],ko,나의 아저씨,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",6.9845,/o5cBRMF6syh4yUBgZ2Ust8LvcxA.jpg,2018-03-21,My Mister,8.5,150
False,/uTy5KpNqeiFkQ8YXBq8rckXkZqk.jpg,[18],99047,['KR'],ko,청춘기록,"In a cutthroat world where the life you’re born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",6.747,/54yTLS5d4OPOuunzOvHlmP82eIT.jpg,2020-09-07,Record of Youth,8.1,213
False,/ddWYpLMDUVYfxeqEl79ykTDwPFp.jpg,[18],96571,['KR'],ko,무브 투 헤븐: 나는 유품정리사입니다,"Finding life in all that’s left behind, a detail-oriented trauma cleaner and his estranged uncle deliver untold stories of the departed to loved ones.",6.6472,/gUvA20jcHABFPjYMIiZl5o9tWi3.jpg,2021-05-14,Move to Heaven,7.898,325
False,/vu5F4wLOBPFWYcBkJ3at2XKJgGa.jpg,"[35, 18]",67014,['KR'],ko,청춘시대,"With different personalities, life goals and taste in men, five female college students become housemates in a shared residence called Belle Epoque.",7.2636,/4MdSbKFGAzgFhF407e9fcZreqvm.jpg,2016-07-22,"Hello, My Twenties!",7.1,125
False,/6b5AgwBJ9RQKzXh0B7kG0wWq5P9.jpg,"[35, 18]",216310,['KR'],ko,무인도의 디바,"Fifteen years after being stranded on a remote island, an aspiring singer reenters society — stopping at nothing to pursue her dream of becoming a diva.",6.1967,/oYOxdgfPogMoXPizBjKcZx7f9k2.jpg,2023-10-28,Castaway Diva,8.3,55
False,/radnXkgRgn1RMbaddv3ZYbCZ3G6.jpg,"[35, 18]",98827,['KR'],ko,편의점 샛별이,"It tells an unpredictable 24-hour love story of the four-dimensional innocent girl Jung Saet Byeol who was once a troublemaker and the adorkable caring male store manager, Choi Dae Hyun, in the context of a convenience store. They have met each other accidentally 4 years ago, back then Saet Byeol asked Dae Hyun to buy cigarettes for them. Until now, Saet Byeol comes to the convenience store Dae Hyun runs for a part-time job, their hilarious romantic story starts.",6.693,/gkNj8CuhGCHZtznyQBisrnY7mpH.jpg,2020-06-19,Backstreet Rookie,7.4,99
False,/2lQ1PwGFZKM9EakCw1j4NShEuuj.jpg,"[18, 10765, 10759]",136369,['KR'],ko,내일,"Once guiding the 'dead', now saving those who want to die! The Afterlife Office Human Fantasy.",5.9528,/7pOC2Wr6aavn6OPkFJ9YqhCV5hW.jpg,2022-04-01,Tomorrow,8.477,236
False,/4CGA9pdxTWZSXEsNCKWHAI72qbH.jpg,[10764],204062,['KR'],ko,"에덴, 본능의 후예들","The perfect EDEN HOUSE to fall in love! The rules here are.. only way to move as your heart is drawn between attraction and condition, the excitement that has been locked explodes here now! Can men and women who found Eden find their mate here?",5.4941,/v5t8eTwEFCvpRfJpWgelgsbnp9s.jpg,2022-06-14,"Eden, Descendants of Instinct",2.0,1
